model,RMSE,R2
"LinearRegressionModel: uid=LinearRegression_577a6c753aeb, numFeatures=23",6.904276687105479,0.4639869766816316
"RandomForestRegressionModel: uid=RandomForestRegressor_49a24fcb07da, numTrees=20, numFeatures=23",2.439469265154069,0.9332279611174716
